pst_length_eps_frac,Density Error,Transition Error,Spatial-Temporal Query Error,Pattern F1 Error,Kendall-tau Coefficient,Length Error,Trip Error,Hotspot NDCG
0.02,0.11652331184160537,0.36746575653382096,0.4616665752190884,0.4793,0.7238095238095238,0.14772281075083182,0.26133431402387547,0.7346972605355601
0.05,0.11408258063989563,0.3668746512972034,0.4384267194251386,0.4878,0.7841269841269841,0.14513818284229496,0.2540656339111612,0.7742320265347246
0.1,0.1147391094307288,0.3750438931979292,0.4378079421119908,0.4864,0.7904761904761904,0.1414237877610085,0.2542949473427436,0.7944662416642967
0.15,0.12460823104106226,0.39233118436010656,0.48273389440173536,0.4758,0.7396825396825397,0.13408339440383524,0.25995864871736235,0.7298355132070999
