method,length_eps,Density Error,Transition Error,Spatial-Temporal Query Error,Pattern F1 Error,Kendall-tau Coefficient,Length Error,Trip Error,Physical Violation Error,Hotspot NDCG
retrasyn,,0.13549337655184693,0.41044299496131365,0.5097931591234822,0.3892000000000001,0.6952380952380952,0.2027415849743443,0.33622497995699163,1.3518062398531676,0.4996913204617698
retrasyn_pst_balanced_len0p02,0.02,0.17450571476334809,0.41336478059830833,0.48334526686556883,0.46549999999999997,0.7936507936507936,0.12436494126752184,0.26216105103655174,0.991042843210044,0.4085189763664049
retrasyn_pst_balanced_len0p05,0.05,0.17526232083558801,0.42347929747355634,0.5347968852909848,0.4455999999999999,0.6952380952380952,0.12704119597332023,0.2625016470538931,1.0055416902451475,0.375651138890901
retrasyn_pst_balanced_len0p10,0.1,0.17385782597956922,0.41587036592998433,0.5063042845493569,0.46029999999999993,0.692063492063492,0.12619215387995011,0.2647990997702894,0.9877100454213119,0.4576061899566372
retrasyn_pst_balanced_len0p15,0.15,0.1732845998929237,0.42068849697540317,0.46350773231583275,0.4544999999999999,0.7142857142857143,0.1247610960198128,0.26643617690164034,1.0004776912659423,0.41726391269045393
