method,context_grid_num,context_ratio,Density Error,Transition Error,Spatial-Temporal Query Error,Pattern F1 Error,Kendall-tau Coefficient,Length Error,Trip Error,Physical Violation Error,Hotspot NDCG
retrasyn_pst_balanced_g10_ctx10,10,1.0,0.23279205463508057,0.45293689823440403,0.5791426885251414,0.2717,0.6016161616161616,0.07663095444233316,0.3350164762822805,0.8180876056686002,0.06909428538645487
retrasyn_pst_balanced_g10_ctx8,8,0.8,0.23645271363592243,0.4619968613000078,0.5041479879949113,0.265,0.6676767676767676,0.07768277293341193,0.3343114153218295,0.8114262117049801,0.09634551397780344
retrasyn_pst_balanced_g10_ctx6,6,0.6,0.23568994456295908,0.46911185455535825,0.5499069101099452,0.2404,0.6242424242424243,0.07485171006766037,0.33225398123510497,0.9096609949317582,0.12611624216286504
retrasyn_pst_balanced_g10_ctx4,4,0.4,0.23411993547848434,0.45579140405996427,0.5437577443136541,0.26330000000000003,0.6494949494949495,0.07872066404950245,0.3366757191760289,0.8366576754446025,0.17362381949559538
