method,Density Error,Transition Error,Spatial-Temporal Query Error,Pattern F1 Error,Kendall-tau Coefficient,Length Error,Trip Error,Physical Violation Error,Hotspot NDCG
retrasyn,0.13549337655184693,0.41044299496131365,0.5097931591234822,0.3892000000000001,0.6952380952380952,0.2027415849743443,0.33622497995699163,1.3518062398531676,0.4996913204617698
retrasyn_pst_balanced_uniform06,0.1744713965506289,0.418967852742493,0.518056056463676,0.4514999999999999,0.7523809523809524,0.13983051903722374,0.2689187561296581,1.0001913132240787,0.39579775985884624
retrasyn_pst_balanced_adaptive06,0.17450571476334809,0.41336478059830833,0.48334526686556883,0.46549999999999997,0.7936507936507936,0.12436494126752184,0.26216105103655174,0.991042843210044,0.4085189763664049
