method,projection_strength,projection_rejection_mass,feasible_mass_ratio,physical_violation_reduction,adaptive_projection_strength,adaptive_projection_floor,candidate_hotspot_density,Density Error,Transition Error,Spatial-Temporal Query Error,Pattern F1 Error,Kendall-tau Coefficient,Length Error,Trip Error,Physical Violation Error,Hotspot NDCG
retrasyn,,,,,,,,0.13549337655184693,0.41044299496131365,0.5097931591234822,0.3892000000000001,0.6952380952380952,0.2027415849743443,0.33622497995699163,1.3518062398531676,0.4996913204617698
retrasyn_pst_balanced_projoff,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.16758393763606494,0.4166108017460692,0.5136885620003576,0.44549999999999995,0.7777777777777778,0.12847134908274016,0.268403460461081,1.1287841121003284,0.4313971585069475
retrasyn_pst_balanced_adaptive06,0.6,0.33606338033281236,0.6323603189324101,0.07739192711801929,0.39225925061566275,0.4176911040260345,0.29811751826852445,0.17450571476334809,0.41336478059830833,0.48334526686556883,0.46549999999999997,0.7936507936507936,0.12436494126752184,0.26216105103655174,0.991042843210044,0.4085189763664049
retrasyn_pst_balanced_adaptive10,1.0,0.3990685174261351,0.6247965461599272,0.09107741646724876,0.6574399921254889,0.41613054905772007,0.29534319832479655,0.17749887973027356,0.414143633551215,0.5256696871060025,0.45480000000000004,0.7206349206349206,0.12873352306617433,0.26147998225464414,0.9912589000092282,0.39423341940506035
retrasyn_pst_balanced_adaptive14,1.4,0.43886574716395804,0.6270362784145602,0.1017403026850765,0.9070774020690301,0.4210095048315721,0.3040168974783062,0.17874514043804957,0.41715274077578124,0.5295825671482176,0.45159999999999995,0.765079365079365,0.12515602241246465,0.25964451505222363,0.9794835619683535,0.41934967922292027
